Direction,Column,Set,Benchmark,Result
right,Cortex-A72,Baseline,acorn,1.46
right,Cortex-A72,Baseline,babel-minify,2.2
right,Cortex-A72,Baseline,postcss,1.26
right,Cortex-A72,Baseline,source-map,2.16
right,Cortex-A72,Patch,coffeescript,1.68
right,Cortex-A72,Patch,jshint,2.12
right,Cortex-A72,Patch,mean,1.86
right,Cortex-A72,Patch,babylon,1.87
right,Cortex-A72,Patch,espree,1.15
right,Cortex-A72,Patch,typescript,2.13
right,Cortex-A72,Patch,buble,1.13
right,Cortex-A72,Patch,terser,3.99
right,Cortex-A72,Patch,prettier,1.78
right,Cortex-A72,Patch,chai,3.18
right,Cortex-A72,Patch,prepack,1.82
right,Cortex-A72,Patch,babel,1.87
right,Cortex-A72,Patch,esprima,1.46
right,Cortex-A72,Patch,lebab,2.1
left,Cortex-A72,Patch,gc:V8.GC_MC_SWEEP,12668
left,Cortex-A72,Patch,gc:V8.GC_MC_EVACUATE,127385
right,Cortex-A72,Patch,uglify-js,1.16
right,Cortex-A72,Patch,acorn,1.95
right,Cortex-A72,Patch,babel-minify,2.28
right,Cortex-A72,Patch,postcss,1.29
right,Cortex-A72,Patch,source-map,2.38
right,Cortex-A53,Baseline,coffeescript,0.78
right,Cortex-A53,Baseline,jshint,1.08
right,Cortex-A53,Baseline,mean,0.88
right,Cortex-A53,Baseline,babylon,1.0
right,Cortex-A53,Baseline,espree,0.53
right,Cortex-A53,Baseline,typescript,1.05
right,Cortex-A53,Baseline,buble,0.58
right,Cortex-A53,Baseline,terser,1.84
right,Cortex-A53,Baseline,prettier,0.85
right,Cortex-A53,Baseline,chai,1.43
right,Cortex-A53,Baseline,prepack,0.84
right,Cortex-A53,Baseline,babel,0.86
right,Cortex-A53,Baseline,esprima,0.83
right,Cortex-A53,Baseline,lebab,1.0
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,26527
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,148962
right,Cortex-A53,Baseline,uglify-js,0.54
right,Cortex-A53,Baseline,acorn,0.88
right,Cortex-A53,Baseline,babel-minify,1.09
right,Cortex-A53,Baseline,postcss,0.61
right,Cortex-A53,Baseline,source-map,0.81
right,Cortex-A53,Patch,coffeescript,0.75
right,Cortex-A53,Patch,jshint,1.05
right,Cortex-A53,Patch,mean,0.87
right,Cortex-A53,Patch,babylon,0.95
right,Cortex-A53,Patch,espree,0.53
right,Cortex-A53,Patch,typescript,1.05
right,Cortex-A53,Patch,buble,0.59
right,Cortex-A53,Patch,terser,1.84
right,Cortex-A53,Patch,prettier,0.83
right,Cortex-A53,Patch,chai,1.43
right,Cortex-A53,Patch,prepack,0.86
right,Cortex-A53,Patch,babel,0.85
right,Cortex-A53,Patch,esprima,0.8
right,Cortex-A53,Patch,lebab,0.98
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,30573
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,243254
right,Cortex-A53,Patch,uglify-js,0.55
right,Cortex-A53,Patch,acorn,0.88
right,Cortex-A53,Patch,babel-minify,1.09
right,Cortex-A53,Patch,postcss,0.6
right,Cortex-A53,Patch,source-map,0.82
right,Cortex-A72,Baseline,coffeescript,1.57
right,Cortex-A72,Baseline,jshint,2.01
right,Cortex-A72,Baseline,mean,1.82
right,Cortex-A72,Baseline,babylon,1.88
right,Cortex-A72,Baseline,espree,1.05
right,Cortex-A72,Baseline,typescript,2.12
right,Cortex-A72,Baseline,buble,1.13
right,Cortex-A72,Baseline,terser,3.93
right,Cortex-A72,Baseline,prettier,1.76
right,Cortex-A72,Baseline,chai,3.16
right,Cortex-A72,Baseline,prepack,1.81
right,Cortex-A72,Baseline,babel,1.88
right,Cortex-A72,Baseline,esprima,1.84
right,Cortex-A72,Baseline,lebab,2.17
left,Cortex-A72,Baseline,gc:V8.GC_MC_SWEEP,21504
left,Cortex-A72,Baseline,gc:V8.GC_MC_EVACUATE,131227
right,Cortex-A72,Baseline,uglify-js,1.17
right,Cortex-A72,Baseline,acorn,1.37
right,Cortex-A72,Baseline,babel-minify,2.24
right,Cortex-A72,Baseline,postcss,1.3
right,Cortex-A72,Baseline,source-map,2.23
right,Cortex-A72,Patch,coffeescript,1.55
right,Cortex-A72,Patch,jshint,2.02
right,Cortex-A72,Patch,mean,1.79
right,Cortex-A72,Patch,babylon,1.91
right,Cortex-A72,Patch,espree,1.08
right,Cortex-A72,Patch,typescript,2.1
right,Cortex-A72,Patch,buble,1.16
right,Cortex-A72,Patch,terser,3.9
right,Cortex-A72,Patch,prettier,1.76
right,Cortex-A72,Patch,chai,3.2
right,Cortex-A72,Patch,prepack,1.81
right,Cortex-A72,Patch,babel,1.84
right,Cortex-A72,Patch,esprima,1.86
right,Cortex-A72,Patch,lebab,2.0
left,Cortex-A72,Patch,gc:V8.GC_MC_SWEEP,14927
left,Cortex-A72,Patch,gc:V8.GC_MC_EVACUATE,130394
right,Cortex-A72,Patch,uglify-js,1.09
right,Cortex-A72,Patch,acorn,1.42
right,Cortex-A72,Patch,babel-minify,2.25
right,Cortex-A72,Patch,postcss,1.29
right,Cortex-A72,Patch,source-map,1.85
right,Cortex-A53,Baseline,coffeescript,0.78
right,Cortex-A53,Baseline,jshint,1.03
right,Cortex-A53,Baseline,mean,0.87
right,Cortex-A53,Baseline,babylon,0.97
right,Cortex-A53,Baseline,espree,0.51
right,Cortex-A53,Baseline,typescript,1.06
right,Cortex-A53,Baseline,buble,0.58
right,Cortex-A53,Baseline,terser,1.82
right,Cortex-A53,Baseline,prettier,0.8
right,Cortex-A53,Baseline,chai,1.4
right,Cortex-A53,Baseline,prepack,0.82
right,Cortex-A53,Baseline,babel,0.85
right,Cortex-A53,Baseline,esprima,0.87
right,Cortex-A53,Baseline,lebab,1.0
left,Cortex-A53,Baseline,gc:V8.GC_MC_SWEEP,30411
left,Cortex-A53,Baseline,gc:V8.GC_MC_EVACUATE,263456
right,Cortex-A53,Baseline,uglify-js,0.54
right,Cortex-A53,Baseline,acorn,0.87
right,Cortex-A53,Baseline,babel-minify,1.1
right,Cortex-A53,Baseline,postcss,0.6
right,Cortex-A53,Baseline,source-map,0.79
right,Cortex-A53,Patch,coffeescript,0.8
right,Cortex-A53,Patch,jshint,1.04
right,Cortex-A53,Patch,mean,0.88
right,Cortex-A53,Patch,babylon,1.0
right,Cortex-A53,Patch,espree,0.53
right,Cortex-A53,Patch,typescript,1.05
right,Cortex-A53,Patch,buble,0.58
right,Cortex-A53,Patch,terser,1.86
right,Cortex-A53,Patch,prettier,0.79
right,Cortex-A53,Patch,chai,1.4
right,Cortex-A53,Patch,prepack,0.85
right,Cortex-A53,Patch,babel,0.84
right,Cortex-A53,Patch,esprima,0.82
right,Cortex-A53,Patch,lebab,1.0
left,Cortex-A53,Patch,gc:V8.GC_MC_SWEEP,24817
left,Cortex-A53,Patch,gc:V8.GC_MC_EVACUATE,219154
right,Cortex-A53,Patch,uglify-js,0.55
right,Cortex-A53,Patch,acorn,0.87
right,Cortex-A53,Patch,babel-minify,1.12
right,Cortex-A53,Patch,postcss,0.61
right,Cortex-A53,Patch,source-map,1.03
